#FileName	SpeciesCode	SpeciesName	Kingdom	Phylum	Subphylum	class	order	Family	genus
Vanderwaltozyma_polyspora_DSM70294.gb	VANPO	Vanderwaltozyma_polyspora_DSM_70294	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Vanderwaltozyma
Vavraia_culicis_floridensis.gb	VAVCU	Vavraia_culicis_subsp._floridensis	Fungi	Microsporidia	Microsporidia_S	Microsporidia_C	Microsporidia_O	Pleistophoridae	Vavraia
Verticillium_alfalfae_VaMs102.gb	VERAL	Verticillium_alfalfae_VaMs.102	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Verticillium
Verticillium_dahliae_VdLs17.gb	VERDA	Verticillium_dahliae_VdLs.17	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Verticillium
Vittaforma_corneae_ATCC50505.gb	VITCO	Vittaforma_corneae_ATCC_50505	Fungi	Microsporidia	Microsporidia_S	Microsporidia_C	Microsporidia_O	Nosematidae	Vittaforma
Wallemia_ichthyophaga_EXF994.gb	WALIC	Wallemia_ichthyophagaEXF-994	Fungi	Basidiomycota	Agaricomycotina	Wallemiomycetes	Wallemiales	Wallemiales_F	Wallemia
Wallemia_sebi_CBS63366.gb	WALSE	Wallemia_sebi_CBS_633.66	Fungi	Basidiomycota	Agaricomycotina	Wallemiomycetes	Wallemiales	Wallemiales_F	Wallemia
Wickerhamomyces_ciferrii_NRRLY1031.gb	WICCI	Wickerhamomyces_ciferrii	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Wickerhamomyces
Yarrowia_lipolytica.gb	YARLI	Yarrowia_lipolytica_CLIB122	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Dipodascaceae	Yarrowia
Saccharomyces_cerevisiae_S288c.gb	YEAST	Saccharomyces_cerevisiae_S288c	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
Zygosaccharomyces_bailii_CLIB213.gb	ZYGBA	Zygosaccharomyces_bailii_CLIB_213	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Zygosaccharomyces
Zygosaccharomyces_rouxii_CBS732.gb	ZYGRO	Zygosaccharomyces_rouxii_CBS_732	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Zygosaccharomyces
Zymoseptoria_brevis.gb	ZYMBR	Zymoseptoria_brevis	Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Zymoseptoria.
Zymoseptoria_tritici_IPO323.gb	ZYMTR	Zymoseptoria_tritici_IPO323	Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Zymoseptoria
